Start Node,Algorithm,Suggested Products,Time to Suggest
1,BFS,|481||33||8||18||445||6||34||176||2555||210|||,1.4049999713897705
1,DFS,|8||99||837||5||2954||55978||26032||51923||90331||2952|||,0.17412137985229492
1,RFS,|8||18||4656||6||3155||97||719||176||2555||210|||,0.970691442489624
201,BFS,|1825||899||8645||1389||1824||1930||6488||6578||2050||5056|||,0.25317955017089844
201,DFS,|9332||12615||8645||6578||5056||7568||6807||71989||38273||40572|||,0.13109612464904785
201,RFS,|1825||899||8645||1824||1389||1930||17160||6578||14770||5056|||,0.31221985816955566
401,BFS,|3513||6096||11615||10310||1355||29922||34788||10311||38273||19120|||,0.2922077178955078
401,DFS,|1355||29922||3064||726||69940||48174||70644||82957||26310||2987|||,0.1200857162475586
401,RFS,|10310||1355||18380||16514||10311||38273||18706||3064||726||34784|||,0.22916293144226074
601,BFS,|602||34791||831||99363||99361||49163||134720||832||833||99364|||,0.0
601,DFS,|34791||602||49163||99363||99361||134720||831||49164||141326||110230|||,0.0
601,RFS,|602||34791||99363||99361||831||49163||134720||99364||833||832|||,0.0010006427764892578
801,BFS,|6195||3820||17074||2021||6146||63884||2164||50064||11937||3027|||,0.252180814743042
801,DFS,|3820||21387||6146||38273||18489||43328||34748||21433||34784||4949|||,0.11307883262634277
801,RFS,|6195||3820||17074||2021||6146||32812||63884||2164||50064||3027|||,0.21415233612060547
1001,BFS,|4259||7979||6412||6658||4257||17160||8057||4787||5090||6441|||,0.439312219619751
1001,DFS,|9491||37386||72921||65133||65132||37586||15990||19869||42986||17950|||,0.11107635498046875
1001,RFS,|4259||7979||6658||4257||5090||2912||4997||5252||3794||2911|||,0.3122215270996094
1201,BFS,|2064||3895||983||889||3893||3407||5339||7162||1484||1818|||,0.4042840003967285
1201,DFS,|983||889||16639||1402||59894||35496||101792||52574||1549||40915|||,0.1000833511352539
1201,RFS,|8645||983||889||3407||6897||7162||1484||1818||11965||23216|||,0.2922053337097168
1401,BFS,|21316||2426||25056||41869||2518||4698||25055||12228||49075||78830|||,0.005002260208129883
1401,DFS,|21316||2426||41869||25056||2518||4698||25055||12228||78830||49075|||,0.007004499435424805
1401,RFS,|21316||2426||25056||41869||2518||4698||25055||12228||78830||49075|||,0.008005380630493164
1601,BFS,|3661||9253||4820||6412||4573||4821||6441||7951||16365||6439|||,0.3952794075012207
1601,DFS,|3661||4573||55292||1602||48668||86552||89632||83901||58963||99129|||,0.09807038307189941
1601,RFS,|3661||4820||4573||16365||4939||3077||5845||6440||9491||18656|||,0.2922096252441406
1801,BFS,|8381||11519||11994||11995||11993||19170||4424||67136||71203||44042|||,0.08505821228027344
1801,DFS,|8381||11519||11994||11995||11993||19170||4424||71203||67136||97433|||,0.07505321502685547
1801,RFS,|8381||11519||11994||11995||62888||11993||19170||41056||41060||4424|||,0.09806990623474121
2201,BFS,|21771||25661||34958||66987||71347||59700||18695||89708||84320||52914|||,0.14910578727722168
2201,DFS,|84320||18695||64173||3534||15456||20648||83901||122628||100660||75394|||,0.08706164360046387
2201,RFS,|21771||66987||71347||59700||84320||18695||43254||64173||76510||3534|||,0.1270904541015625
2401,BFS,|11528||5992||13790||23263||10234||52568||11154||17658||38858||33923|||,0.1391003131866455
2401,DFS,|5992||52568||11154||73916||65133||65132||17658||38858||33923||17788|||,0.09906864166259766
2401,RFS,|11528||5992||13790||23263||45614||10234||52568||11154||17658||38858|||,0.14310193061828613
2601,BFS,|2945||12873||24581||88366||1806||13022||17184||25140||62657||16924|||,0.03402256965637207
2601,DFS,|2945||24581||12873||88366||13022||1806||25140||17184||62657||21719|||,0.0310208797454834
2601,RFS,|2945||24581||12873||88366||1806||13022||17184||25140||62657||16924|||,0.03802895545959473
3001,BFS,|4291||3052||32108||9457||26883||20391||7709||16669||18380||19502|||,0.22215723991394043
3001,DFS,|4291||3052||11482||73916||65133||65132||33923||13573||86552||5200|||,0.09408688545227051
3001,RFS,|16454||4291||3052||32108||23587||72432||20391||16669||7709||18380|||,0.23367834091186523
3201,BFS,|11528||9015||13790||9018||23263||66520||45614||10234||52568||6435|||,0.14510345458984375
3201,DFS,|11528||11519||11994||18402||23263||6435||29113||17496||22975||17699|||,0.09907078742980957
3201,RFS,|11528||9015||23263||9018||66520||13790||32941||10234||32940||9013|||,0.1511080265045166
3401,BFS,|4895||16005||6331||6332||33609||8077||54557||11297||14977||47417|||,0.004001617431640625
3401,DFS,|4895||16005||6332||6331||33609||8077||54557||14977||11297||47417|||,0.003003358840942383
3401,RFS,|4895||16005||6331||6332||33609||8077||54557||11297||14977||47417|||,0.005002260208129883
3601,BFS,|21205||18706||43401||38273||21277||34748||56489||75575||7156||31846|||,0.10907983779907227
3601,DFS,|43401||18706||38273||21277||56489||34748||34784||72921||75575||7156|||,0.08305859565734863
3601,RFS,|21205||18706||43401||21277||56489||34748||72921||75575||7156||37180|||,0.11107707023620605
3801,BFS,|29165||69107||42919||65423||84188||61835||65424||96464||56194||70963|||,0.0670478343963623
3801,DFS,|29165||69107||65423||42919||65424||61835||84188||96464||55083||70963|||,0.07105040550231934
3801,RFS,|29165||69107||42919||65423||65424||61835||84188||96464||56194||55083|||,0.08606100082397461
4001,BFS,|18402||48725||9732||44336||29113||19333||30602||22435||31846||39629|||,0.11107254028320312
4001,DFS,|18402||43401||9732||56489||34748||44336||29113||30602||31846||39629|||,0.0840599536895752
4001,RFS,|101369||18402||48725||43401||9732||34748||29113||19333||30602||22435|||,0.12408995628356934
4201,BFS,|53660||22105||38558||34967||16669||22104||41563||21623||78385||25112|||,0.24617528915405273
4201,DFS,|104668||72921||106730||67756||67759||89363||92038||6193||6315||7927|||,0.08606171607971191
4201,RFS,|22105||83687||22104||59554||36607||78385||38183||41480||43047||72921|||,0.19013381004333496
4401,BFS,|4455||18597||18428||7823||7822||19265||51788||14902||55313||4479|||,0.0
4401,DFS,|4455||18597||18428||7823||51788||19265||7822||14902||55313||4479|||,0.0
4401,RFS,|4455||18597||18428||7823||7822||51788||19265||14902||55313||4479|||,0.0010063648223876953
4801,BFS,|6881||9457||15885||10301||5193||10302||10303||25401||19878||18695|||,0.16411232948303223
4801,DFS,|6881||9457||10301||10302||25401||123364||84320||64173||16416||90629|||,0.07004737854003906
4801,RFS,|24305||6881||21771||9457||69816||21270||10301||5193||10302||59700|||,0.18713092803955078
5001,BFS,|29165||69107||42919||65423||84188||61835||65424||96464||56194||70963|||,0.06303882598876953
5001,DFS,|29165||69107||65423||42919||65424||61835||84188||96464||55083||70963|||,0.06304311752319336
5001,RFS,|29165||69107||42919||65423||84188||61835||65424||96464||55083||70963|||,0.06304645538330078
5201,BFS,|29352||11475||9702||14325||26437||65132||65133||10209||33923||39064|||,0.16611886024475098
5201,DFS,|11482||56743||73916||65133||65132||33923||13573||6372||58587||14836|||,0.0890645980834961
5201,RFS,|43543||51364||43544||21710||29352||59844||44551||11475||9702||14325|||,0.1941368579864502
5401,BFS,|45863||37428||20506||6043||34339||77058||65311||5402||74784||87257|||,0.07104825973510742
5401,DFS,|45863||37428||20506||6043||34339||65311||77058||5402||87257||74784|||,0.07505297660827637
5401,RFS,|45863||37428||20506||6043||34339||77058||65311||5402||87257||74784|||,0.07105207443237305
5601,BFS,|36986||33892||70614||7365||7159||43010||83715||39615||70613||83714|||,0.0
5601,DFS,|36986||33892||70614||7159||7365||89191||83714||70613||39615||83715|||,0.0
5601,RFS,|36986||33892||70614||7365||7159||83715||43010||83714||70613||39615|||,0.0
5801,BFS,|14827||15644||16918||15215||14828||36429||15859||9023||16150||42326|||,0.5553932189941406
5801,DFS,|15215||21617||5644||42643||14549||8265||111044||30210||82205||90331|||,0.09907174110412598
5801,RFS,|16918||36429||9023||24267||21617||42326||44078||77634||63383||91636|||,0.353252649307251
6001,BFS,|19527||20729||16454||43659||32108||14853||22548||19244||94324||46036|||,0.3472466468811035
6001,DFS,|14853||22548||94324||46274||7397||94508||70641||26865||121354||51375|||,0.10007286071777344
6001,RFS,|16454||61665||72452||32108||82909||14853||19244||40533||59590||38273|||,0.3062162399291992
6201,BFS,|36127||29527||39309||9026||45585||45375||43572||45363||35671||57741|||,0.07505369186401367
6201,DFS,|36127||29527||39309||9026||45585||43572||45375||45363||35671||57741|||,0.0600428581237793
6201,RFS,|36127||29527||39309||9026||45585||43572||45375||45363||57741||70300|||,0.0790567398071289
6601,BFS,|46073||45484||59590||64624||64097||7710||59591||70932||21266||58372|||,0.1200861930847168
